Disease,Symptoms,Precautions,Severity,Description
Malaria,"fever, headache, chills, sweating, muscle pain","Use mosquito nets; Take antimalarial medication as prescribed; Avoid mosquito bites; Stay hydrated",severe,"A mosquito-borne parasitic infection causing high fever and chills."
Common Cold,"runny nose, sneezing, sore throat, cough, mild fever","Rest; Drink plenty of fluids; Wash hands frequently; Use saline nasal spray",mild,"A viral infection causing sneezing, sore throat, and congestion."
Influenza,"high fever, cough, sore throat, muscle aches, fatigue","Get vaccinated annually; Rest; Drink fluids; Avoid close contact with sick people",moderate,"A contagious respiratory illness caused by influenza viruses."
Tuberculosis,"persistent cough, weight loss, night sweats, fever, chest pain","Complete full antibiotic course; Avoid close contact; Maintain hygiene; Get regular checkups",severe,"Bacterial infection affecting lungs, causing chronic cough."
Pneumonia,"cough with phlegm, fever, chest pain, difficulty breathing, fatigue","Complete antibiotics; Rest; Stay hydrated; Avoid smoking",severe,"Infection causing inflammation in the lungs."
Dengue Fever,"high fever, severe headache, joint pain, rash, muscle pain","Avoid mosquito bites; Use repellents; Stay hydrated; Seek medical care promptly",severe,"Mosquito-borne viral infection causing fever and pain."
COVID-19,"fever, dry cough, fatigue, loss of taste or smell, difficulty breathing","Wear masks; Maintain social distance; Get vaccinated; Isolate if symptomatic",severe,"Respiratory disease caused by coronavirus SARS-CoV-2."
Asthma,"wheezing, shortness of breath, chest tightness, coughing, fatigue","Avoid triggers; Use inhalers as prescribed; Monitor symptoms; Regular doctor visits",moderate,"Chronic lung disease causing airway inflammation."
Diabetes Mellitus,"increased thirst, frequent urination, fatigue, blurred vision, slow healing wounds","Maintain healthy diet; Monitor blood sugar; Exercise regularly; Take medication as prescribed",severe,"Metabolic disorder causing high blood sugar levels."
Hypertension,"headache, dizziness, blurred vision, nosebleeds, chest pain","Maintain healthy diet; Exercise; Limit salt intake; Monitor blood pressure",severe,"High blood pressure increasing risk of heart disease."
Migraine,"throbbing headache, nausea, sensitivity to light, vomiting, visual disturbances","Identify triggers; Use prescribed meds; Rest in dark room; Stay hydrated",moderate,"Neurological condition causing severe headaches."
Appendicitis,"abdominal pain (right lower side), nausea, vomiting, fever, loss of appetite","Seek immediate medical care; Avoid eating or drinking; Surgery usually required",severe,"Inflammation of appendix requiring urgent treatment."
Chickenpox,"itchy rash, fever, tiredness, loss of appetite, headache","Isolate from others; Use calamine lotion; Avoid scratching; Consult doctor if severe",moderate,"Contagious viral infection causing itchy rash."
Cholera,"severe diarrhea, vomiting, dehydration, muscle cramps, weakness","Drink clean water; Use oral rehydration salts; Maintain hygiene; Seek urgent medical care",severe,"Bacterial infection causing severe diarrhea and dehydration."
Gastroenteritis,"diarrhea, vomiting, stomach cramps, fever, nausea","Stay hydrated; Eat bland foods; Practice hand hygiene; Avoid contaminated food",mild,"Inflammation of stomach and intestines."
Bronchitis,"cough, mucus production, fatigue, shortness of breath, chest discomfort","Avoid smoking; Rest; Drink fluids; Use prescribed inhalers if needed",moderate,"Inflammation of bronchial tubes causing cough."
Hepatitis B,"fatigue, jaundice, abdominal pain, dark urine, nausea","Get vaccinated; Avoid sharing needles; Practice safe sex; Regular medical checkups",severe,"Viral infection of the liver."
Urinary Tract Infection,"burning urination, frequent urge, cloudy urine, pelvic pain, fever","Drink plenty of water; Urinate often; Maintain hygiene; Complete antibiotic course",moderate,"Infection of urinary tract."
Anemia,"fatigue, weakness, pale skin, shortness of breath, dizziness","Eat iron-rich foods; Take supplements; Regular blood tests; Treat underlying causes",moderate,"Low red blood cells or hemoglobin levels."
Stroke,"sudden numbness, confusion, difficulty speaking, loss of balance, severe headache","Seek emergency care; Control blood pressure; Maintain healthy lifestyle; Follow medical advice",severe,"Disruption of blood flow to brain causing neurological damage."
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, nasal congestion, postnasal drip","Avoid allergens; Use antihistamines; Keep windows closed during pollen season; Clean regularly",mild,"Allergic reaction causing nasal symptoms."
Eczema,"dry, itchy, inflamed skin, redness, scaling","Avoid irritants; Use moisturizers; Take prescribed steroids; Keep skin clean",mild,"Chronic skin condition causing inflammation and itching."
Depression,"persistent sadness, loss of interest, fatigue, sleep problems, difficulty concentrating","Seek counseling; Stay connected; Exercise regularly; Consider medications if needed",moderate,"Mood disorder affecting daily life."
